src/video_SDL2.c:101:VideoBackendInit_(): 1920x1080 -> zoom=2
src/video_SDL2.c:138:VideoBackendInit_(): Icon was loadedsrc/init.c:110:main(): Loading App: apps/lib/lsmodes.so
Mode Sz8x8   Res.    Description
  1    8   288x160   planar(x1) glyphs(8)
  2   16   192x120   planar(x2) glyphs(8)
  3   24   160x 96   planar(x3) glyphs(8)
  4   32   144x 80   planar(x4) glyphs(8)
  5   40   128x 72   planar(x5) glyphs(8)
  6   48   120x 64   planar(x6) glyphs(8)
  8   64    80x 72   planar(x8) glyphs(8)
  9   16   192x120   TileQuarter16(2x4 px, 4 colors)
 10   32   144x 80   TileNibble32(2x4 px, 16 colors)
 11   64    80x 72   TileByte64(2x4 px, 256 colors)
 17    8   288x160   planar(x1) glyphs(16)
 18   16   192x120   planar(x2) glyphs(16)
 19   24   160x 96   planar(x3) glyphs(16)
 20   32   144x 80   planar(x4) glyphs(16)
 21   40   128x 72   planar(x5) glyphs(16)
 22   48   120x 64   planar(x6) glyphs(16)
 24   64    80x 72   planar(x8) glyphs(16)
 25   16   192x120   TileQuarter32(4x4 px, 4 colors)
 26   32   144x 80   TileNibble64(4x4 px, 16 colors)
 27   64    80x 72   TileByte128(4x4 px, 256 colors)
 33    8   288x160   planar(x1) glyphs(32)
 34   16   192x120   planar(x2) glyphs(32)
 35   24   160x 96   planar(x3) glyphs(32)
 36   32   144x 80   planar(x4) glyphs(32)
 37   40   128x 72   planar(x5) glyphs(32)
 38   48   120x 64   planar(x6) glyphs(32)
 40   64    80x 72   planar(x8) glyphs(32)
 41   16   192x120   TileQuarter64(4x8 px, 4 colors)
 42   32   144x 80   TileNibble128(4x8 px, 16 colors)
 43   64    80x 72   TileByte256(4x8 px, 256 colors)
 49    8   288x160   planar(x1) glyphs(64)
 50   16   192x120   planar(x2) glyphs(64)
 51   24   160x 96   planar(x3) glyphs(64)
 52   32   144x 80   planar(x4) glyphs(64)
 53   40   128x 72   planar(x5) glyphs(64)
 54   48   120x 64   planar(x6) glyphs(64)
 56   64    80x 72   planar(x8) glyphs(64)
 57   16   192x120   TileQuarter128(8x8 px, 4 colors)
 58   32   144x 80   TileNibble256(8x8 px, 16 colors)
 65    8   288x160   planar(x1) glyphs(128)
 66   16   192x120   planar(x2) glyphs(128)
 67   24   160x 96   planar(x3) glyphs(128)
 68   32   144x 80   planar(x4) glyphs(128)
 69   40   128x 72   planar(x5) glyphs(128)
 70   48   120x 64   planar(x6) glyphs(128)
 72   64    80x 72   planar(x8) glyphs(128)
 73   16   192x120   TileQuarter256(8x16 px, 4 colors)
 81    8   288x160   planar(x1) glyphs(256)
 82   16   192x120   planar(x2) glyphs(256)
 83   24   160x 96   planar(x3) glyphs(256)
 84   32   144x 80   planar(x4) glyphs(256)
 85   40   128x 72   planar(x5) glyphs(256)
 86   48   120x 64   planar(x6) glyphs(256)
 88   64    80x 72   planar(x8) glyphs(256)
113    8   288x160   planar(x1) pixels
114   16   192x120   planar(x2) pixels
115   24   160x 96   planar(x3) pixels
116   32   144x 80   planar(x4) pixels
117   40   128x 72   planar(x5) pixels
118   48   120x 64   planar(x6) pixels
120   64    80x 72   planar(x8) pixels
121   16   192x120   Chunky Pixels (2 bpp ("Quarter") -> 4 colors)
122   32   144x 80   Chunky Pixels (4 bpp ("Nibble") -> 16 colors)
123   64    80x 72   Chunky Pixels (8 bpp ("Byte") -> 256 colors)
128   16   192x120   glyphs(8) & attributes(8 / fg16/bg16)
129   16   192x120   glyphs(8) & attributes(8 / fg256)
